시간날짜,황산동함유량,황산함유량,염소함유량,황산동분석값,황산분석값,염소분석값,광택제첨가량,확산제첨가량,평활제첨가량,가동시간,전압,전류,속도,장력,온도,두께최소,두께최대,정지상태초기가동,가동종료,
datetime,copper_sulfate_content,sulfuric_acid_content,chloride_content,copper_sulfate_analysis,sulfuric_acid_analysis,chloride_analysis,add_amount_brightener,add_amount_carrier,add_amount_leveller,wt,v,a,velocity,tension,temperature,thick_min,thickness_max,warmup,off,
2023-07-11T08:55:00Z,,,,,,,,,,,1.7,14,,,,,,1,,
2023-07-11T09:20:00Z,,,,,,,,,,,2.2,48,0.05,5.4,26.6,,,,,
2023-07-11T09:40:00Z,,,,,,,,,,,2.2,48,0.05,6.4,25.7,,,,,
2023-07-11T10:00:00Z,,,,,,,,,,,2.2,48,0.05,3.9,25.7,,,,,
2023-07-11T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-11T12:35:00Z,,,,,,,,,,,1.8,10,,,,,,1,,
2023-07-11T13:00:00Z,,,,,,,,,,,2.1,47,0.05,4,24,20,25,,,
2023-07-11T13:30:00Z,,,,,,,,,,,2.1,47,0.05,3.3,24.2,,,,,
2023-07-11T14:00:00Z,,,,,,,,,,,2.1,47,0.05,3.2,24.4,,,,,
2023-07-11T14:30:00Z,,,,,,,,,,,2.1,47,0.05,3.2,24.6,,,,,
2023-07-11T15:00:00Z,,,,,,,,,,,2.1,47,0.05,3.4,24.9,,,,,
2023-07-11T15:30:00Z,,,,,,,,,,,2.1,47,0.05,3.1,24.8,,,,,
2023-07-11T16:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-12T08:35:00Z,,,,,,,,,,,1.8,10,,,,,,1,,
2023-07-12T09:05:00Z,,,,,,,,,,,2.1,40,0.05,4.2,25.6,,,,,
2023-07-12T09:35:00Z,,,,,,,,,,,2.1,49,0.05,2.5,25.7,,,,,
2023-07-12T10:05:00Z,,,,,,,,,,,2.1,49,0.05,2.3,25.7,,,,,
2023-07-12T10:35:00Z,,,,,,,,,,,2.1,48,0.05,2.6,25.7,,,,,
2023-07-12T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-12T12:30:00Z,,,,,,,,,,,1.6,12,,,,,,1,,
2023-07-12T13:00:00Z,,,,,,,,,,,2.2,48,0.05,2.9,25.7,,,,,
2023-07-12T13:30:00Z,,,,,,,,,,,2.2,48,0.05,3.1,26.1,,,,,
2023-07-12T14:00:00Z,,,,,,,,,,,2.2,48,0.05,3.5,26.1,,,,,
2023-07-12T14:30:00Z,,,,,,,,,,,2.2,48,0.05,3.4,26.1,,,,,
2023-07-12T15:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-13T08:45:00Z,,,,,,,,,,,1.8,12,,,,,,1,,
2023-07-13T09:30:00Z,,,,,,,,,,,2.1,48,0.05,3.1,24.9,,,,,
2023-07-13T10:00:00Z,,,,,,,,,,,2.1,48,0.05,3.2,24.8,,,,,
2023-07-13T10:30:00Z,,,,,,,,,,,2.1,48,0.05,3.9,24.8,,,,,
2023-07-13T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-13T12:35:00Z,,,,,,,,,,,1.6,16,,,,,,1,,
2023-07-13T13:00:00Z,,,,,,,,,,,2.1,50,0.05,3.7,25.3,,,,,
2023-07-13T13:30:00Z,,,,,,,,,,,2.2,67,0.06,3.5,25.3,,18,,,
2023-07-13T14:00:00Z,,,,,,,,,,,2.2,67,0.06,2.9,25.3,,,,,
2023-07-13T14:30:00Z,,,,,,,,,,,2.2,67,0.06,3.5,25.3,,,,,
2023-07-13T15:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-17T08:40:00Z,,,,,,,,,,,1.6,14,,,,,,1,,
2023-07-17T09:10:00Z,,,,,,,,,,,2.3,74,0.06,2.4,26.7,,,,,
2023-07-17T09:40:00Z,,,,,,,,,,,2.2,51,0.06,2.6,26.4,,,,,
2023-07-17T10:10:00Z,,,,,,,,,,,2.1,51,0.06,2.7,26,,,,,
2023-07-17T10:40:00Z,,,,,,,,,,,2.1,47,0.06,2.7,25.8,,,,,
2023-07-17T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-17T12:35:00Z,,,,,,,,,,,1.7,14,,,,,,1,,
2023-07-17T13:00:00Z,,,,,,,,,,,2.2,42,0.06,2.8,25.1,,,,,
2023-07-17T13:30:00Z,,,,,,,,,,,2.1,38,0.06,2.8,25.1,,,,,
2023-07-17T14:00:00Z,,,,,,,,,,,2.1,38,0.06,2.8,25.3,,,,,
2023-07-17T14:30:00Z,,,,,,,,,,,2.1,38,0.06,2.9,25.5,,,,,
2023-07-17T15:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-18T08:35:00Z,143.5,132.79,,28.7,27.1,59,320,200,,,,,,,,,,,,
2023-07-18T08:40:00Z,,,,,,,,,,,1.6,14,,,,,,1,,
2023-07-18T09:10:00Z,,,,,,,,,,,2.1,41,0.06,2.8,26.7,,,,,
2023-07-18T09:40:00Z,,,,,,,,,,,2.1,41,0.06,2.8,26.7,,,,,
2023-07-18T10:00:00Z,,,,,,,,,,,2,41,0.06,2.9,25.7,,,,,
2023-07-18T10:30:00Z,,,,,,,,,,,2.1,43,0.06,2.6,25.8,,,,,
2023-07-18T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-18T12:35:00Z,,,,,,,,,,,1.7,14,,,,,,1,,
2023-07-18T13:00:00Z,,,,,,,,,,,2.1,42,0.06,2.7,25.6,,,,,
2023-07-18T13:30:00Z,,,,,,,,,,,2.1,42,0.06,2.6,25.6,,,,,
2023-07-18T14:00:00Z,,,,,,,,,,,2.1,45,0.06,2.9,25.6,,,,,
2023-07-18T14:30:00Z,,,,,,,,,,,2.1,45,0.06,2.6,25.7,,,,,
2023-07-18T15:00:00Z,,,,,,,,,,,2.1,45,0.06,2.7,25.5,,,,,
2023-07-18T15:30:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-19T08:40:00Z,,,,,,,,,,,1.7,14,,,,,,1,,
2023-07-19T08:45:00Z,144.5,133.28,,28.9,27.2,59,450,150,,,,,,,,,,,,
2023-07-19T09:10:00Z,,,,,,,,,,,2,42,0.05,3.1,25.8,,,,,
2023-07-19T09:40:00Z,,,,,,,,,,,2,42,0.05,2.9,25.7,,,,,
2023-07-19T10:00:00Z,,,,,,,,,,,2,42,0.05,3.1,25.8,,,,,
2023-07-19T10:30:00Z,,,,,,,,,,,2.1,48,0.06,2.9,25.8,,,,,
2023-07-19T11:00:00Z,,,,,,,,,,,,,,,,,,,1,
2023-07-19T12:35:00Z,,,,,,,,,,,1.7,14,,,,,,1,,
