CASE1,CASE2,CASE3,CASE4
1471.4,1471.4,1455.9,1456.5
1471.5,1471.5,1455.9,1456.5
1471.6,1471.6,1455.9,1456.5
1471.6,1471.6,1455.9,1456.5
1471.5,1471.5,1455.9,1456.5
1471.4,1471.4,1455.9,1456.5
1471.3,1471.3,1455.9,1456.5
1471.1,1471.1,1455.9,1456.5
1471,1471,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1470.8,1470.8,1455.9,1456.5
1470.8,1470.8,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1471,1471,1455.9,1456.6
1471.2,1471.2,1455.9,1456.6
1471.4,1471.4,1455.9,1456.6
1471.7,1471.7,1455.9,1456.6
1472,1472,1455.9,1456.6
1472.4,1472.4,1455.9,1456.6
1472.8,1472.8,1455.9,1456.6
1473.3,1473.3,1455.9,1456.6
1473.7,1473.7,1455.9,1456.6
1474.2,1474.2,1455.9,1456.6
1474.6,1474.6,1455.9,1456.6
1474.9,1474.9,1455.9,1456.6
1475.1,1475.1,1455.9,1456.6
1475.2,1475.2,1455.9,1456.6
1475.3,1475.3,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.5,1475.5,1455.9,1456.6
1475.5,1475.5,1455.9,1456.6
1475.5,1475.5,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.4,1475.4,1455.9,1456.5
1475.4,1475.4,1455.9,1456.5
1475.5,1475.5,1455.9,1456.5
1475.5,1475.5,1455.9,1456.5
1475.6,1475.6,1455.9,1456.5
1475.6,1475.6,1455.9,1456.5
1475.6,1475.6,1455.9,1456.5
1475.7,1475.7,1455.9,1456.5
1475.7,1475.7,1455.9,1456.5
1475.7,1475.7,1455.9,1456.5
1475.7,1475.7,1455.9,1456.5
1475.7,1475.7,1455.9,1456.6
1475.6,1475.6,1455.9,1456.6
1475.4,1475.4,1455.9,1456.6
1475.2,1475.2,1455.9,1456.6
1474.9,1474.9,1455.9,1456.6
1474.6,1474.6,1455.9,1456.6
1474.3,1474.3,1455.9,1456.6
1473.9,1473.9,1455.9,1456.6
1473.7,1473.7,1455.9,1456.5
1473.4,1473.4,1455.9,1456.5
1473.3,1473.3,1455.9,1456.5
1473.2,1473.2,1455.9,1456.5
1473.1,1473.1,1455.9,1456.5
1473,1473,1455.9,1456.5
1473,1473,1455.9,1456.5
1472.9,1472.9,1455.9,1456.5
1472.9,1472.9,1455.9,1456.5
1472.9,1472.9,1455.9,1456.5
1473,1473,1455.9,1456.5
1473.1,1473.1,1455.9,1456.5
1473.3,1473.3,1455.9,1456.5
1473.4,1473.4,1455.9,1456.5
1473.7,1473.7,1455.9,1456.6
1473.9,1473.9,1455.9,1456.6
1474.1,1474.1,1455.9,1456.6
1474.3,1474.3,1455.9,1456.6
1474.4,1474.4,1455.9,1456.6
1474.5,1474.5,1455.9,1456.6
1474.6,1474.6,1455.9,1456.6
1474.7,1474.7,1455.9,1456.6
1474.7,1474.7,1455.9,1456.6
1474.7,1474.7,1455.9,1456.6
1474.7,1474.7,1455.9,1456.5
1474.7,1474.7,1455.9,1456.5
1474.7,1474.7,1455.9,1456.5
1474.8,1474.8,1455.9,1456.5
1474.8,1474.8,1455.9,1456.5
1474.7,1474.7,1455.9,1456.5
1474.7,1474.7,1455.9,1456.5
1474.6,1474.6,1455.9,1456.5
1474.5,1474.5,1455.9,1456.5
1474.4,1474.4,1455.9,1456.5
1474.3,1474.3,1455.9,1456.5
1474.2,1474.2,1455.9,1456.5
1474.1,1474.1,1455.9,1456.5
1474,1474,1455.9,1456.5
1474,1474,1455.9,1456.5
1473.9,1473.9,1455.9,1456.5
1473.9,1473.9,1455.9,1456.5
1473.8,1473.8,1455.9,1456.5
1473.7,1473.7,1455.9,1456.5
1473.6,1473.6,1455.9,1456.6
1473.4,1473.4,1455.9,1456.6
1473.3,1473.3,1455.9,1456.6
1473.1,1473.1,1455.9,1456.6
1473,1473,1455.9,1456.6
1472.9,1472.9,1455.9,1456.6
1472.8,1472.8,1455.9,1456.6
1472.6,1472.6,1455.9,1456.6
1472.5,1472.5,1455.9,1456.6
1472.3,1472.3,1455.9,1456.5
1472.1,1472.1,1455.9,1456.5
1471.9,1471.9,1455.9,1456.5
1471.7,1471.7,1455.9,1456.5
1471.4,1471.4,1455.9,1456.5
1471.2,1471.2,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1470.8,1470.8,1455.9,1456.5
1470.6,1470.6,1455.9,1456.5
1470.5,1470.5,1455.9,1456.5
1470.4,1470.4,1455.9,1456.5
1470.4,1470.4,1455.9,1456.5
1470.3,1470.3,1455.9,1456.5
1470.2,1470.2,1455.9,1456.5
1470.2,1470.2,1455.9,1456.5
1470.2,1470.2,1455.9,1456.5
1470.2,1470.2,1455.9,1456.5
1470.3,1470.3,1455.9,1456.5
1470.3,1470.3,1455.9,1456.5
1470.5,1470.5,1455.9,1456.5
1470.6,1470.6,1455.9,1456.5
1470.7,1470.7,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1471,1471,1455.9,1456.5
1470.9,1470.9,1455.9,1456.5
1470.8,1470.8,1455.9,1456.5
1470.7,1470.7,1455.9,1456.5
1470.5,1470.5,1455.9,1456.5
1470.2,1470.2,1455.9,1456.5
1470,1470,1455.9,1456.5
1469.7,1469.7,1455.9,1456.5
1469.5,1469.5,1455.9,1456.5
1469.2,1469.2,1455.9,1456.5
1468.9,1468.9,1455.9,1456.5
1468.7,1468.7,1455.9,1456.5
1468.5,1468.5,1455.9,1456.5
1468.3,1468.3,1455.9,1456.5
1468.1,1468.1,1456,1456.5
1468,1468,1455.9,1456.5
1468,1468,1455.8,1456.5
1467.9,1467.9,1455.7,1456.5
1468,1468,1455.6,1456.5
1468.1,1468.1,1455.5,1456.5
1468.2,1468.2,1455.5,1456.5
1468.3,1468.3,1455.6,1456.5
1468.5,1468.5,1455.7,1456.5
1468.7,1468.7,1455.8,1456.5
1468.9,1468.9,1456,1456.5
1469,1469,1456.3,1456.5
1469.2,1469.2,1456.6,1456.5
1469.3,1469.3,1456.9,1456.5
1469.4,1469.4,1457.3,1456.5
1469.5,1469.5,1457.7,1456.5
1469.6,1469.6,1458,1456.5
1469.7,1469.7,1458.3,1456.5
1469.8,1469.8,1458.4,1456.5
1469.9,1469.9,1458.5,1456.5
1469.9,1469.9,1458.6,1456.5
1469.9,1469.9,1458.6,1456.5
1470,1470,1458.7,1456.5
1470,1470,1458.7,1456.5
1470.1,1470.1,1458.7,1456.5
1470.1,1470.1,1458.7,1456.5
1470.2,1470.2,1458.7,1456.5
1470.3,1470.3,1458.8,1456.5
1470.4,1470.4,1458.9,1456.5
1470.6,1470.6,1459,1456.5
1470.7,1470.7,1459.2,1456.5
1470.9,1470.9,1459.4,1456.5
1471,1471,1459.6,1456.5
1471.1,1471.1,1459.8,1456.5
1471.2,1471.2,1459.9,1456.5
1471.4,1471.4,1459.9,1456.6
1471.5,1471.5,1459.8,1456.6
1471.7,1471.7,1459.6,1456.6
1472,1472,1459.5,1456.6
1472.2,1472.2,1459.2,1456.6
1472.4,1472.4,1459,1456.6
1472.6,1472.6,1458.7,1456.6
1472.8,1472.8,1458.5,1456.6
1473,1473,1458.3,1456.6
1473.2,1473.2,1458.1,1456.6
